file,k,chIndex,swIndex
ecoli.txt,2,171.16072791553214,0.36857446976383124
ecoli.txt,3,187.53631117692638,0.4095881787690227
ecoli.txt,4,204.89316548738853,0.427033895221949
ecoli.txt,5,188.85250903235655,0.3858472577032514
ecoli.txt,6,171.52578458200796,0.2851265487060139
ecoli.txt,7,163.03125045421456,0.27461332099354097
ecoli.txt,8,155.84869330732806,0.2792837588623153
glass.txt,2,144.27514638390582,0.520130532687963
glass.txt,3,106.21502206584256,0.5252437159134775
glass.txt,4,99.44822451089063,0.36016322862686095
glass.txt,5,91.13110416198096,0.36470653680219484
glass.txt,6,89.18721523684934,0.3800646521107107
glass.txt,7,86.68627952627318,0.3769890196579607
ionosphere.txt,2,115.03602259089122,0.293415410397893
ionosphere.txt,3,80.64954870637997,0.29387077755751706
ionosphere.txt,4,69.53441582430895,0.30469871087381356
ionosphere.txt,5,59.89644786162457,0.299110474061464
ionosphere.txt,6,54.37196370620083,0.25116320906836376
ionosphere.txt,7,49.83296849161631,0.23209367458520588
ionosphere.txt,8,45.756948411200796,0.23446880019645233
ionosphere.txt,9,43.06505430814381,0.18024184437999236
ionosphere.txt,10,40.720091023236236,0.1855530947433882
ionosphere.txt,11,38.11292164158732,0.18365987210007678
ionosphere.txt,12,36.84958393603105,0.194415280935736
ionosphere.txt,13,35.01350897212166,0.19224454182502576
iris_bezdek.txt,2,354.3655559107396,0.6300471284354711
iris_bezdek.txt,3,359.8450742083084,0.5047687565398588
landsat.txt,2,4230.105999455131,0.36785570096368886
landsat.txt,3,5844.391782786768,0.4321190808240962
landsat.txt,4,5317.449091696512,0.40280245474494664
landsat.txt,5,5027.8430196681,0.34373875817576827
landsat.txt,6,4918.153958555958,0.3548634019235264
landsat.txt,7,4606.8927869938525,0.34749792546917724
landsat.txt,8,4248.854643076132,0.3046692227434001
landsat.txt,9,3990.8756114418825,0.2956186544042128
landsat.txt,10,3766.1489672521775,0.2905858329244552
landsat.txt,11,3586.9963818701412,0.294894053856049
landsat.txt,12,3417.756934072942,0.28335882023779346
letter_recognition.txt,2,4747.3719650666235,0.17524632707277527
letter_recognition.txt,3,3672.0408581469487,0.15888528202624838
letter_recognition.txt,4,3195.541940974109,0.13836816394421422
letter_recognition.txt,5,2929.372799766434,0.14164395034609234
letter_recognition.txt,6,2706.2816128887093,0.14903982702219476
letter_recognition.txt,7,2536.499594959178,0.1495013333648276
letter_recognition.txt,8,2395.0596517318036,0.14406309787905344
letter_recognition.txt,9,2311.4478862554784,0.14862117665185348
letter_recognition.txt,10,2194.9512197060567,0.15215655580302478
letter_recognition.txt,11,2122.969023593746,0.14683128664548797
letter_recognition.txt,12,2051.9409185138097,0.14984388688359265
letter_recognition.txt,13,1977.0238749542739,0.15182635192253904
letter_recognition.txt,14,1901.1992255680009,0.15185005303682736
letter_recognition.txt,15,1842.6975098621108,0.142106340146374
letter_recognition.txt,16,1785.0137368880064,0.14108433479968274
letter_recognition.txt,17,1739.1483930999639,0.13999648053338823
letter_recognition.txt,18,1682.6722187592434,0.141903852037894
letter_recognition.txt,19,1641.086980575222,0.14208321053766168
letter_recognition.txt,20,1606.313301082814,0.14095785692049795
letter_recognition.txt,21,1574.7752216364083,0.1424375238215204
letter_recognition.txt,22,1537.677354448807,0.14378609908918458
letter_recognition.txt,23,1502.4475089691812,0.1432444111661214
letter_recognition.txt,24,1482.9150793959018,0.1476446493988522
letter_recognition.txt,25,1446.9455931923019,0.15069886461813473
letter_recognition.txt,26,1415.8847751101318,0.15051274499041556
letter_recognition.txt,27,1391.8602984755564,0.1511690543042075
letter_recognition.txt,28,1363.7675772266334,0.1487803259468422
segmentation.txt,2,1785.014323350415,0.39063956093196867
segmentation.txt,3,1670.5321089717472,0.32348340259945285
segmentation.txt,4,1843.7227253799058,0.38318519564030884
segmentation.txt,5,1647.4547613656573,0.3484344870224766
segmentation.txt,6,1500.5422810757916,0.3349235919259233
segmentation.txt,7,1426.2563074420434,0.33330005151915965
segmentation.txt,8,1327.4485857342047,0.34041248658731443
vehicle.txt,2,702.5785302208326,0.40328625632029813
vehicle.txt,3,549.8617225566568,0.3037625832889361
vehicle.txt,4,445.31083547516874,0.2550516378350727
vehicle.txt,5,382.86298326250886,0.2170892073804469
vehicle.txt,6,341.83269580920256,0.2131888299006918
vehicle.txt,7,313.34023049705746,0.2203243316221519
vehicle.txt,8,293.1175124588344,0.22120292604852207
vehicle.txt,9,283.0482902555237,0.20940731703792584
vehicle.txt,10,274.08419313346565,0.20982865837089248
wine.txt,2,84.70850444407328,0.2987221815974774
wine.txt,3,83.37374750844351,0.3013463273503231
wine.txt,4,65.85204613361337,0.25993667561623146
wine.txt,5,55.05555154003595,0.24520909037826336
wine.txt,6,48.290524259725046,0.20583339903594824
wine.txt,7,43.185494104937526,0.20181671456016684
yeast.txt,2,387.6017643738866,0.24843413085684815
yeast.txt,3,327.9239707375517,0.24214231415372697
yeast.txt,4,293.0399512304017,0.18340653104367582
yeast.txt,5,303.2390566505198,0.1948583784958999
yeast.txt,6,293.57009496812066,0.20469738350934774
yeast.txt,7,327.23240875606183,0.21220732166656114
yeast.txt,8,327.0769054808815,0.21749462398236633
yeast.txt,9,309.0447785671134,0.18205058574371535
yeast.txt,10,294.8899959330257,0.18514989892522407
yeast.txt,11,283.48273860412087,0.18795334529664778
yeast.txt,12,269.5620984577524,0.18269309558813077
yeast.txt,13,260.1554528046351,0.17322453732690415
yeast.txt,14,251.43725045868945,0.16344074034939224
yeast.txt,15,242.40194350284642,0.172007255970762
