method,file,runNum,initialSSE,finalSSE,iterations
RandomPartition,yeast.txt,1,162.14042805435213,129.73268004170407,5
RandomPartition,yeast.txt,2,159.03313685363318,129.72679656087035,5
RandomPartition,yeast.txt,3,162.0120398283234,129.6861003573868,5
RandomPartition,yeast.txt,4,161.96764090187995,129.74898910438174,6
RandomPartition,yeast.txt,5,161.74880646235792,129.7126396738683,5
RandomPartition,yeast.txt,6,162.32539375813357,129.73633300786327,6
RandomPartition,yeast.txt,7,161.24802233858475,129.72775054987733,7
RandomPartition,yeast.txt,8,162.01756268999634,129.7132571849996,6
RandomPartition,yeast.txt,9,160.8276108882893,129.73960344923398,5
RandomPartition,yeast.txt,10,161.17253170364557,129.75443788815042,5
RandomPartition,yeast.txt,11,160.53281835402754,129.71268760668355,7
RandomPartition,yeast.txt,12,161.7851397776175,129.75941332791808,5
RandomPartition,yeast.txt,13,161.26382327805837,129.73903100369645,5
RandomPartition,yeast.txt,14,161.79556642227288,129.71463574945915,7
RandomPartition,yeast.txt,15,161.43771858163538,129.72780762831607,8
RandomPartition,yeast.txt,16,161.30474958374015,129.72609839073013,6
RandomPartition,yeast.txt,17,161.62566230247035,129.73288375701983,6
RandomPartition,yeast.txt,18,161.2196621646295,129.7262647071957,8
RandomPartition,yeast.txt,19,162.46692358316702,129.7207315733148,8
RandomPartition,yeast.txt,20,161.04564322899918,129.7219205142859,7
RandomPartition,yeast.txt,21,161.586944412061,129.72217019194153,9
RandomPartition,yeast.txt,22,160.24247669432344,129.72717673887405,5
RandomPartition,yeast.txt,23,162.66190580740894,129.71530178420494,6
RandomPartition,yeast.txt,24,160.39597328237673,129.70776954770315,5
RandomPartition,yeast.txt,25,160.08341842665908,129.7476317522991,5
RandomPartition,yeast.txt,26,161.92875853449027,129.64109023682954,7
RandomPartition,yeast.txt,27,161.39929111073891,129.74527370824313,6
RandomPartition,yeast.txt,28,161.59226271086806,129.74117155403928,5
RandomPartition,yeast.txt,29,162.3273421597719,129.71241323039638,7
RandomPartition,yeast.txt,30,160.80894161123675,129.713693543187,5
RandomPartition,yeast.txt,31,160.9453504299595,129.71547531903704,7
RandomPartition,yeast.txt,32,157.46797857977091,129.719712314592,6
RandomPartition,yeast.txt,33,161.06831626451154,129.7212225463902,8
RandomPartition,yeast.txt,34,157.77336067319845,129.74392825447123,4
RandomPartition,yeast.txt,35,161.4705362954684,129.71547531903704,7
RandomPartition,yeast.txt,36,161.4392555957694,129.72315355899383,9
RandomPartition,yeast.txt,37,161.76344909965655,129.72775054987733,7
RandomPartition,yeast.txt,38,161.1741986156288,129.69417779945385,8
RandomPartition,yeast.txt,39,161.3040502150485,129.7132571849996,6
RandomPartition,yeast.txt,40,160.3861704217518,129.73698180675265,6
RandomPartition,yeast.txt,41,161.78729667939575,129.72382663618833,6
RandomPartition,yeast.txt,42,160.58915381930328,129.73765486076078,7
RandomPartition,yeast.txt,43,159.7060367064895,129.729519828929,6
RandomPartition,yeast.txt,44,161.227281796684,129.75147504644434,6
RandomPartition,yeast.txt,45,158.09199749824685,129.71463574945915,5
RandomPartition,yeast.txt,46,161.18761949221243,129.7194235341605,5
RandomPartition,yeast.txt,47,161.37568733768182,129.7387833635316,6
RandomPartition,yeast.txt,48,161.98184577976784,129.63285313370497,11
RandomPartition,yeast.txt,49,158.4447931893115,129.72764979364973,5
RandomPartition,yeast.txt,50,160.54392595174807,129.7219205142859,6
RandomPartition,yeast.txt,51,160.81568732644195,129.71809459501995,5
RandomPartition,yeast.txt,52,162.7829186191712,129.743371202884,6
RandomPartition,yeast.txt,53,161.75387688048968,129.729519828929,6
RandomPartition,yeast.txt,54,159.29714558740048,129.73063219618805,5
